type;title;director;cast;country;date_added;release_year;rating;listed_in;description;duration_value;duration_unit;country_count
TV Show;RIDE ON TIME;Unknown;King & Prince,Hey! Say! JUMP,KAT-TUN,NEWS,Kansai Johnny's Jr.,Snow Man,Tomoyuki Yara,Travis Japan,Bi shonen,SixTONES,HiHi Jets,Kis-My-Ft2,Koichi Domoto;Unknown;2021-08-27;2021;TV-PG;Docuseries, International TV Shows;Take a deep dive into the beautiful world of Japan's top male idol groups from number one producer Johnny's in this revealing docuseries.;3;Seasons;0
TV Show;Titletown High;Unknown;Unknown;Unknown;2021-08-27;2021;TV-14;Reality TV, Teen TV Shows;In a Georgia town where football rules and winning is paramount, a high school team tackles romance, rivalries and real life while vying for a title.;1;Season;0
TV Show;EDENS ZERO;Unknown;Takuma Terashima,Mikako Komatsu,Rie Kugimiya,Hiromichi Tezuka,Shiori Izawa,Shiki Aoki,Sayaka Ohara,Hochu Otsuka,Kikuko Inoue;Japan;2021-08-26;2021;TV-14;Anime Series, International TV Shows;Aboard the Edens Zero, a lonely boy with the ability to control gravity embarks on an adventure to meet the fabled space goddess known as Mother.;1;Season;1
TV Show;Family Reunion;Unknown;Loretta Devine,Tia Mowry-Hardrict,Anthony Alabi,Talia Jackson,Isaiah Russell-Bailey,Cameron J. Wright,Jordyn Raya James,Richard Roundtree;United States;2021-08-26;2021;TV-PG;Kids' TV, TV Comedies;When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways.;4;Seasons;1
TV Show;Clickbait;Brad Anderson;Zoe Kazan,Betty Gabriel,Adrian Grenier,Phoenix Raei,Abraham Lim,Jessica Collins,Camaron Engels,Jaylin Fletcher,Liz Alexander,Joyce Guy,Daniel Henshall,Ian Meadows,Jamie Timony,Steve Mouzakis,Becca Lish;Unknown;2021-08-25;2021;TV-MA;Crime TV Shows, TV Dramas, TV Mysteries;When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why.;1;Season;0
TV Show;John of God: The Crimes of a Spiritual Healer;Mauricio Dias, Tatiana Villela;Unknown;Unknown;2021-08-25;2021;TV-MA;Crime TV Shows, Docuseries, International TV Shows;Idolized medium João Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors, prosecutors and the press.;1;Season;0
TV Show;Motel Makeover;Unknown;Unknown;Unknown;2021-08-25;2021;TV-14;International TV Shows, Reality TV;Amid project pitfalls and a pandemic, besties-turned-business partners bring their design magic to a rundown motel and revamp it into a go-to getaway.;1;Season;0
TV Show;Open Your Eyes;Unknown;Maria Wawreniuk,Ignacy Liss,Michał Sikorski,Wojciech Dolatowski,Klaudia Koścista,Zuzanna Galewicz,Marta Nieradkiewicz,Sara Celler Jezierska,Pola Król,Marcin Czarnik,Martyna Nowakowska;Unknown;2021-08-25;2021;TV-MA;International TV Shows, TV Dramas, TV Mysteries;After a tragic accident, an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment.;1;Season;0
TV Show;Post Mortem: No One Dies in Skarnes;Unknown;Kathrine Thorborg Johansen,Elias Holmen Sørensen,André Sørum,Kim Fairchild,Sara Khorami,Terje Strømdahl,Øystein Røger,Marianne Jonger,Martin Karelius;Unknown;2021-08-25;2021;TV-MA;International TV Shows, TV Comedies, TV Dramas;She's back from the dead and has a newfound thirst for blood. Meanwhile, her family's funeral parlor desperately needs more business. Hmm, what if...;1;Season;0
TV Show;Wheel of Fortune;Unknown;Pat Sajak,Vanna White;United States;2021-08-25;2019;TV-G;Reality TV;Pat Sajak and Vanna White host one of TV's most popular, long-running game shows, where players spin a wheel for prizes and solve mystery phrases.;3;Seasons;1
TV Show;Oggy Oggy;Unknown;Unknown;Unknown;2021-08-24;2021;TV-Y;Kids' TV, TV Comedies;Join adorable kitten Oggy and his cast of cat pals in a bright and colorful kitty world. They're always on the go for fun times and fantastic adventures!;1;Season;0
TV Show;Manifest;Unknown;Melissa Roxburgh,Josh Dallas,Athena Karkanis,J.R. Ramirez,Luna Blaise,Jack Messina,Parveen Kaur;United States;2021-08-21;2021;TV-14;TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy;When a plane mysteriously lands years after takeoff, the people onboard return to a world that has moved on without them and face strange, new realities.;3;Seasons;1
TV Show;Comedy Premium League;Unknown;Unknown;Unknown;2021-08-20;2021;TV-MA;International TV Shows, TV Comedies;With satirical sketches, cheeky debates and blistering roasts, 16 of India’s wittiest entertainers compete in teams to be named the ultimate comedy champs.;1;Season;0
TV Show;Everything Will Be Fine;Unknown;Lucía Uribe,Flavio Medina,Isabella Vazquez Morales,Pierre Louis,Mercedes Hernández;Unknown;2021-08-20;2021;TV-MA;International TV Shows, Spanish-Language TV Shows, TV Comedies;A separated couple live together for their child's sake in this satirical dramedy about what it means to be a good parent and spouse in today's world.;1;Season;0
TV Show;Korean Cold Noodle Rhapsody;Unknown;Paik Jong-won;Unknown;2021-08-20;2021;TV-PG;Docuseries, International TV Shows;Refreshing and flavorful, naengmyeon is Korea's coolest summertime staple. A journey through its history begins, from how it's cooked to how it's loved.;1;Season;0
TV Show;The Chair;Unknown;Sandra Oh,Jay Duplass,Holland Taylor,David Morse,Bob Balaban,Nana Mensah,Everly Carganilla;Unknown;2021-08-20;2021;TV-MA;TV Comedies, TV Dramas;At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department.;1;Season;0
TV Show;Go! Go! Cory Carson;Unknown;Alan C. Lim,Paul Killam,Maisie Benson,Kerry Gudjohnsen,Smith Foreman,Neena-Sinaii Simpo,Eli Morse,Adelaide Hirasaki,Jim Capobianco,Anna Chambers,Pfifer Chastain;United States;2021-08-18;2021;TV-Y;Kids' TV;Beep, beep – go, go! Buckle up for fun and adventure with adorable kid car Cory Carson as he explores the winding roads of Bumperton Hills.;5;Seasons;1
TV Show;The Defeated;Unknown;Taylor Kitsch,Nina Hoss,Logan Marshall-Green,Michael C. Hall,Tuppence Middleton,Mala Emde,Maximilian Ehrenreich,Sebastian Koch,Anne Ratte-Polle,Lena Dörrie,Benjamin Sadler;Unknown;2021-08-18;2020;TV-MA;Crime TV Shows, International TV Shows, TV Dramas;In 1946 Berlin, an American cop searches for his missing brother while helping a novice German policewoman fight the violent crimes engulfing the city.;1;Season;0
TV Show;Mother Goose Club;Unknown;Unknown;United States;2021-08-16;2016;TV-Y;Kids' TV;Classic nursery rhymes and children's songs get a fresh twist in this high-energy program that helps kids learn as they dance and sing along.;2;Seasons;1
TV Show;Rascal Does Not Dream of Bunny Girl Senpai;Unknown;Kaito Ishikawa,Asami Seto,Nao Toyama,Atsumi Tanezaki,Maaya Uchida,Yurika Kubo,Inori Minase;Japan;2021-08-15;2018;TV-14;Anime Series, International TV Shows, Romantic TV Shows;"After experiencing ""puberty syndrome"" himself, high school pariah Sakuta keeps meeting girls suffering from it, including his sister and actor Mai.";1;Season;1
TV Show;The Creative Indians;Unknown;Unknown;India;2021-08-15;2020;TV-MA;Docuseries, International TV Shows;From chefs and comedians to filmmakers and fashion designers, India’s most notable imaginative minds share their artistic journeys.;1;Season;1
TV Show;Winx Club;Unknown;Liza Jacqueline,Helena Evangeliou,Lisa Ortiz,Kerry Williams,Gregory Abbey,Dan Green,Michael Sinterniklaas,Suzy Myers,Christina Rodriguez,Dani Schaffel,Sebastian Arcelus,Rachael Lillis;Italy;2021-08-15;2015;TV-Y7;Kids' TV;"In this animated fantasy, a girl named Bloom befriends a band of fairies, then follows them into the secretive and dangerous ""Magical Dimension.""";2;Seasons;1
TV Show;Brand New Cherry Flavor;Unknown;Rosa Salazar,Eric Lange,Catherine Keener,Jeff Ward,Manny Jacinto,Hannah Levien,Patrick Fischler;United States;2021-08-13;2021;TV-MA;TV Dramas, TV Horror, TV Mysteries;A filmmaker heads to Hollywood in the early '90s to make her movie but tumbles down a hallucinatory rabbit hole of sex, magic, revenge — and kittens.;1;Season;1
TV Show;Fast & Furious Spy Racers;Unknown;Tyler Posey,Charlet Chung,Jorge Diaz,Camille Ramsey,Luke Youngblood,Renée Elise Goldsberry;United States;2021-08-13;2021;TV-Y7;Kids' TV;A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.;5;Seasons;1
TV Show;Gone for Good;Juan Carlos Medina;Finnegan Oldfield,Nicolas Duvauchelle,Guillaume Gouix,Garance Marillier,Nailia Harzoune;France;2021-08-13;2021;TV-MA;Crime TV Shows, International TV Shows, TV Dramas;Ten years after losing two loved ones, a man is plunged into another dizzying mystery when his girlfriend vanishes. Based on a Harlan Coben novel.;1;Season;1
TV Show;Grace and Frankie;Unknown;Jane Fonda,Lily Tomlin,Martin Sheen,Sam Waterston,June Diane Raphael,Brooklyn Decker,Ethan Embry,Baron Vaughn;United States;2021-08-13;2021;TV-MA;TV Comedies, TV Dramas;They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series.;7;Seasons;1
TV Show;The Kingdom;Unknown;Chino Darín,Nancy Dupláa,Joaquín Furriel,Peter Lanzani,Mercedes Morán,Diego Peretti,Vera Spinetta,Nico García Hume,Victoria Almeida,Santiago Korovsky,Patricio Aramburu,Alfonso Tort,Diego Gentile,Néstor Guzzini,Daniel Kuzniecka;Argentina;2021-08-13;2021;TV-MA;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems.;1;Season;1
TV Show;Valeria;Inma Torrente;Diana Gómez,Silma López,Paula Malia,Teresa Riott,Maxi Iglesias,Ibrahim Al Shami;Spain;2021-08-13;2021;TV-MA;International TV Shows, Romantic TV Shows, Spanish-Language TV Shows;A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent.;2;Seasons;1
TV Show;AlRawabi School for Girls;Unknown;Andria Tayeh,Rakeen Sa'ad,Noor Taher,Yara Mustafa,Joanna Arida,Salsabiela,Nadera Emran,Reem Saadeh;Jordan;2021-08-12;2021;TV-14;International TV Shows, TV Dramas, Teen TV Shows;The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.;1;Season;1
TV Show;Bake Squad;Unknown;Unknown;United States;2021-08-11;2021;TV-PG;Reality TV;Expert bakers elevate desserts with next-level ideas and epic execution. Now the battle is on to win over clients in need of very special sweets.;1;Season;1
TV Show;Gabby's Dollhouse;Unknown;Laila Lockhart Kraner,Tucker Chandler,Juliet Donenfeld,Maggi Lowe,Donovan Patton,Eduardo Franco,Tara Strong,Secunda Wood,Carla Tassara,Sainty Nelsen;United States;2021-08-10;2021;TV-Y;Kids' TV;Cute cats, quirky crafts and colorful magic! Join kitty enthusiast Gabby and her sidekick Pandy Paws as they team up for a series of animated adventures.;2;Seasons;1
TV Show;I Need Romance;Sakon Tiacharoen;Khemanit Jamikorn,Thitipoom Techaapaikhun,Kannaporn Puangthong,Premmanat Suwannanon,Mintita Wattanakul,Thames Sanpakit,Katareeya Theapchatri,Phanuroj Chalermkijporntavee,Jirapisit Jaravijit;Unknown;2021-08-10;2021;TV-14;International TV Shows, Romantic TV Shows, TV Comedies;A workaholic who lost interest in romance reunites with an old flame and gifted music composer, who's determined to restore her belief in love.;1;Season;0
TV Show;Las muñecas de la mafia;Unknown;Amparo Grisales,Fernando Solórzano,Angelica Blandon,Katherine Escobar,Yuly Ferreira,Alejandra Sandoval,Andrea Gómez,Andrea Guzmán,Diego Vásquez,Julián Román,Juan Pablo Franco;Colombia;2021-08-10;2018;TV-MA;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;"Based on the book ""Las Fantásticas,"" this exciting telenovela follows the tumultuous lives of five women who get mixed up with the Mafia.";1;Season;1
TV Show;The Crowned Clown;Unknown;Yeo Jin-goo,Lee Se-young,Kim Sang-kyung,Jung Hye-young,Jang Kwang,Kwon Hae-hyo,Jang Yeong-nam,Lee Kyu-han;South Korea;2021-08-10;2019;TV-14;International TV Shows, Romantic TV Shows, TV Dramas;Standing in for an unhinged Joseon king, a look-alike clown plays the part but increasingly becomes devoted to protecting the throne and the people.;1;Season;1
TV Show;SHAMAN KING;Unknown;Yoko Hikasa,Katsuyuki Konishi,Megumi Hayashibara,Inuko Inuyama,Romi Park,Kosuke Takaguchi,Masahiko Tanaka,Wataru Takagi,Yuji Ueda,Megumi Nakajima,Takehito Koyasu,Yoko Soumi,Motoko Kumai,Yui Horie,Yuichi Nakamura,Nana Mizuki,Takumu Miyazono,Noriaki Kanze,Michiko Neya,Toru Sakurai,Rina Hidaka,Masakazu Morita,Minami Takayama;Japan;2021-08-09;2021;TV-14;Anime Series, International TV Shows;Medium Yoh Asakura enters a battle tournament held every 500 years, competing with other shamans in a bid to become the all-powerful Shaman King.;1;Season;1
TV Show;Hit & Run;Unknown;Lior Raz,Kaelen Ohm,Sanaa Lathan,Moran Rosenblatt,Lior Ashkenazi,Gregg Henry,Gal Toren;Israel, United States;2021-08-06;2021;TV-MA;TV Action & Adventure, TV Dramas, TV Mysteries;A man searching for the truth behind his wife's death becomes caught up in a dangerous web of secrets and intrigue stretching from New York to Tel Aviv.;1;Season;2
TV Show;Navarasa;Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon;Suriya,Vijay Sethupathi,Revathy,Prakash Raj,Siddarth,Parvathy,Delhi Ganesh,Gautham Vasudev Menon,Anjali,Yogi Babu,Aditi Balan,Remya Nambeesan,Poorna,Prayaga Martin,Rythvika Suriya,Arvind Swamy,Prasanna,Atharva,Bobby Simha,Ashok Selvan,Nedumudi Venu,Kishore;India;2021-08-06;2021;TV-MA;TV Shows;From amusement to awe, the nine human emotions of Indian aesthetic theory are explored in this anthology series.;1;Season;1
TV Show;Car Masters: Rust to Riches;Unknown;"Mark Towle,Shawn Pilot,Constance Nunes,Tony Quinones,Mike ""Caveman"" Pyle";Unknown;2021-08-04;2021;TV-PG;Reality TV;The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.;3;Seasons;0
TV Show;Cocaine Cowboys: The Kings of Miami;Billy Corben;Unknown;United States;2021-08-04;2021;TV-MA;Crime TV Shows, Docuseries;Two childhood friends go from high school dropouts to the most powerful drug kingpins in Miami in this true story of a crime saga that spanned decades.;1;Season;1
TV Show;Control Z;Unknown;Ana Valeria Becerril,Michael Ronda,Yankel Stevan,Zion Moreno,Luis Curiel,Samantha Acuña,Macarena García,Fiona Palomo,Andrés Baida,Patricio Gallardo,Iván Aragón,Xabiani Ponce de León,Patricia Maqueo,Rodrigo Cachero,Rocío Verdejo,Mauro Sánchez Navarro,Lidia San José,Thanya López,Renata del Castillo,Arturo Barba,Kariam Castro,Ariana Saavedra,Alexander Holtmann,Nastassia Villasana,Marco Zunino;Mexico;2021-08-04;2021;TV-MA;International TV Shows, Spanish-Language TV Shows, TV Dramas;When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity.;2;Seasons;1
TV Show;Cooking With Paris;Unknown;Paris Hilton;United States;2021-08-04;2021;TV-MA;Reality TV;With an anyone-can-cook attitude, Paris Hilton adds her own flair to every dish. Fun is just one edible glitter bomb away on this unique cooking show.;1;Season;1
TV Show;Autumn's Concerto;Unknown;Ady An,Vanness Wu,Ann Hsu,Wu Kang-ren,Xiao Xiao Bin;Taiwan;2021-08-03;2009;TV-14;International TV Shows, Romantic TV Shows, TV Dramas;After losing all memories of his past, a wealthy lawyer travels to a rural village where a woman he once loved now lives with her son.;1;Season;1
TV Show;Office Girls;Hsu Fu-Chun;Roy Chiu,Alice Ko,Tia Lee,Patrick Lee,Kuo Shu-yao,James Wen,Janel Tsai;Taiwan;2021-08-03;2011;TV-14;International TV Shows, Romantic TV Shows, TV Comedies;A department store mogul has his son work incognito in a menial job to prove his worthiness, while female co-workers teach him how normal people live.;1;Season;1
TV Show;The Prince Who Turns into a Frog;Unknown;Joe Chen,Ming Dao,Sam Wang,Joyce Chao,Gino,Su Li-hsin,Wang Chuan,Ehlo Huang;Taiwan;2021-08-03;2005;TV-14;International TV Shows, Romantic TV Shows, TV Comedies;Before his wedding, a cold CEO is hit by a car and awakens a changed man. As he and the driver fall in love, more changes appear on the road ahead.;1;Season;1
TV Show;Top Secret UFO Projects: Declassified;Unknown;Unknown;Unknown;2021-08-03;2021;TV-PG;Docuseries;Though claims of extraterrestrial encounters have long been dismissed, many believe the existence of UFOs is not just likely, but a certainty.;1;Season;0
TV Show;Two Fathers;Unknown;Weber Yang,Lin Yo-Wei,Megan Lai,Amanda Chou,Lucia Xie,Cherry Leung;Taiwan;2021-08-03;2013;TV-14;International TV Shows, Romantic TV Shows, TV Comedies;When two single guys learn a woman they both slept with disappeared after giving birth, they decide to raise her baby girl together as a family.;1;Season;1
TV Show;You're My Destiny;Unknown;Joe Chen,Ethan Juan,Baron Chen,Bianca Bai,Na Wei-hsun,Tan Ai-Chen;Taiwan;2021-08-03;2008;TV-MA;International TV Shows, Romantic TV Shows, TV Comedies;A young woman's romantic cruise ends in a twist when she gets pregnant after a one-night stand with a rich executive, turning their lives upside down.;1;Season;1
TV Show;30 Rock;Unknown;Tina Fey,Alec Baldwin,Tracy Morgan,Jane Krakowski,Jack McBrayer,Scott Adsit,Judah Friedlander,Katrina Bowden,Keith Powell,Lonny Ross,John Lutz,Kevin Brown,Grizz Chapman,Maulik Pancholy;United States;2021-08-01;2012;TV-14;TV Comedies;Liz Lemon juggles the demands of running an NBC sketch comedy show with trying to fix her disaster of a personal life and eating her night cheese.;7;Seasons;1
